id,name,age,address,phone,email,status,date,time,created_at,created_by,updated_by
1,John Doe,30,123 Main St.,(123) 456-7890,bFf0O@example.com,Active,2023-05-01,10:00:00,2023-05-01 10:00:00,John Doe,John Doe
2,Jane Smith,25,456 Elm St.,(987) 654-3210,2FV4C@example.com,Inactive,2023-05-02,11:00:00,2023-05-02 11:00:00,John Doe,John Doe
3,Michael Johnson,40,789 Oak St.,(555) 555-5555,2Ht6Z@example.com,Active,2023-05-03,12:00:00,2023-05-03 12:00:00,John Doe,John Doe
4,Emily Davis,35,321 Pine St.,(111) 222-3333,2Tt6I@example.com,Inactive,2023-05-04,13:00:00,2023-05-04 13:00:00,John Doe,John Doe
5,David Wilson,28,654 Cedar St.,(777) 888-9999,8L2aS@example.com,Active,2023-05-05,14:00:00,2023-05-05 14:00:00,John Doe,John Doe
6,Olivia Martinez,32,987 Maple St.,(222) 333-4444,6i9k9@example.com,Inactive,2023-05-06,15:00:00,2023-05-06 15:00:00,John Doe,John Doe
7,Robert Anderson,38,543 Birch St.,(666) 777-8888,4Lk4H@example.com,Active,2023-05-07,16:00:00,2023-05-07 16:00:00,John Doe,John Doe
8,Sophia Taylor,27,876 Walnut St.,(333) 444-5555,2Bk6x@example.com,Inactive,2023-05-08,17:00:00,2023-05-08 17:00:00,John Doe,John Doe
9,William Thomas,31,654 Oak St.,(888) 999-0000,6Hn0k@example.com,Active,2023-05-09,18:00:00,2023-05-09 18:00:00,John Doe,John Doe
10,Emma Martinez,29,321 Pine St.,(111) 222-3333,2Tt6I@example.com,Inactive,2023-05-10,19:00:00,2023-05-10 19:00:00,John Doe,John Doe
11,James Wilson,34,654 Cedar St.,(777) 888-9999,8L2aS@example.com,Active,2023-05-11,20:00:00,2023-05-11 20:00:00,John Doe,John Doe
12,Olivia Martinez,32,987 Maple St.,(222) 333-4444,6i9k9@example.com,Inactive,2023-05-12,21:00:00,2023-05-12 21:00:00,John Doe,John Doe
13,Robert Anderson,38,543 Birch St.,(666) 777-8888,4Lk4H@example.com,Active,2023-05-13,22:00:00,2023-05-13 22:00:00,John Doe,John Doe
14,Sophia Taylor,27,876 Walnut St.,(333) 444-5555,2Bk6x@example.com,Inactive,2023-05-14,23:00:00,2023-05-14 23:00:00,John Doe,John Doe
15,William Thomas,31,654 Oak St.,(888) 999-0000,6Hn0k@example.com,Active,2023-05-15,00:00:00,2023-05-15 00:00:00,John Doe,John Doe
16,Emma Martinez,29,321 Pine St.,(111) 222-3333,2Tt6I@example.com,Inactive,2023-05-16,01:00:00,2023-05-16 01:00:00,John Doe,John Doe
17,James Wilson,34,654 Cedar St.,(777) 888-9999,8L2aS@example.com,Active,2023-05-17,02:00:00,2023-05-17 02:00:00,John Doe,John Doe
18,Olivia Martinez,32,987 Maple St.,(222) 333-4444,6i9k9@example.com,Inactive,2023-05-18,03:00:00,2023-05-18 03:00:00,John Doe,John Doe
