0...1,0...2,...3,0.0,name,email...6,email...7,...8,age,country,city,phone,address,zip,website,...16
1,1,NA,2,John Doe,9eBxS@example.com,9eBxS@example.com,NA,30,United States,New York,123-456-7890,123 Main St,10001,https://johndoe.com,NA
2,2,NA,2,Jane Doe,yape@edu.com,yape@edu.com,NA,25,United States,Los Angeles,987-654-3210,456 Oak St,90001,https://janedoe.com,NA
3,3,NA,2,Luisito comunica,luchks@edu.com,luchks@edu.com,NA,40,United States,Chicago,555-555-5555,789 Elm St,60606,https://johnsmith.com,NA
4,4,NA,2,Jane Smith,create a new column,create a new column,NA,35,United States,Seattle,111-222-3333,321 Pine St,98101,https://janesmith.com,NA
5,5,NA,2,Moises Eliote,3f7lI@example.com,3f7lI@example.com,NA,50,peru,San Francisco,777-888-9999,654 Maple St,94101,https://johnjohnson.com,NA
6,6,NA,2,Jane Johnson,lucks@gmail.com,lucks@gmail.com,NA,45,United States,Boston,222-333-4444,987 Cedar St,02215,https://janejohnson.com,NA
7,7,NA,2,Juansito Luchks,diana@bugkets.com,diana@bugkets.com,NA,23,USA,Denver,666-777-8888,543 Oak St,80202,https://johnbrown.com,NA
8,8,NA,2,Ramonsito Kamacho,5tY9s@example.com,5tY9s@example.com,NA,50,United States,San Francisco,999-888-7777,654 Maple St,94101,https://janebrown.com,NA
9,9,NA,2,John Davis,0r9b7@example.com,0r9b7@example.com,NA,55,United States,Denver,666-777-8888,543 Oak St,80202,https://johndavis.com,NA
10,10,NA,2,Jane Davis,5tY9s@example.com,5tY9s@example.com,NA,50,United States,San Francisco,999-888-7777,654 Maple St,94101,https://janedavis.com,NA
1,1,NA,2,John Doe,9eBxS@example.com,9eBxS@example.com,NA,30,United States,New York,123-456-7890,123 Main St,10001,https://johndoe.com,NA
2,2,NA,2,Jane Doe,4tV2z@example.com,4tV2z@example.com,NA,25,United States,Los Angeles,987-654-3210,456 Oak St,90001,https://janedoe.com,NA
3,3,NA,2,John Smith,0iM7m@example.com,0iM7m@example.com,NA,40,United States,Chicago,555-555-5555,789 Elm St,60606,https://johnsmith.com,NA
4,4,NA,2,Jane Smith,5Bw2r@example.com,5Bw2r@example.com,NA,35,United States,Seattle,111-222-3333,321 Pine St,98101,https://janesmith.com,NA
5,5,NA,2,John Johnson,3f7lI@example.com,3f7lI@example.com,NA,50,United States,San Francisco,777-888-9999,654 Maple St,94101,https://johnjohnson.com,NA
6,6,NA,2,Jane Johnson,4yKZx@example.com,4yKZx@example.com,NA,45,United States,Boston,222-333-4444,987 Cedar St,02215,https://janejohnson.com,NA
7,7,NA,2,John Brown,0r9b7@example.com,0r9b7@example.com,NA,55,United States,Denver,666-777-8888,543 Oak St,80202,https://johnbrown.com,NA
8,8,NA,2,Jane Brown,5tY9s@example.com,5tY9s@example.com,NA,50,United States,San Francisco,999-888-7777,654 Maple St,94101,https://janebrown.com,NA
9,9,NA,2,John Davis,0r9b7@example.com,0r9b7@example.com,NA,55,United States,Denver,666-777-8888,543 Oak St,80202,https://johndavis.com,NA
11,11,NA,2,John Doe,9eBxS@example.com,9eBxS@example.com,NA,30,United States,New York,123-456-7890,123 Main St,10001,https://johndoe.com,NA
2,2,NA,2,Jane Doe,4tV2z@example.com,4tV2z@example.com,NA,25,United States,Los Angeles,987-654-3210,456 Oak St,90001,https://janedoe.com,NA
3,3,NA,2,John Smith,0iM7m@example.com,0iM7m@example.com,NA,40,United States,Chicago,555-555-5555,789 Elm St,60606,https://johnsmith.com,NA
4,4,NA,2,Jane Smith,5Bw2r@example.com,5Bw2r@example.com,NA,35,United States,Seattle,111-222-3333,321 Pine St,98101,https://janesmith.com,NA
5,5,NA,2,John Johnson,3f7lI@example.com,3f7lI@example.com,NA,50,United States,San Francisco,777-888-9999,654 Maple St,94101,https://johnjohnson.com,NA
6,6,NA,2,Jane Johnson,4yKZx@example.com,4yKZx@example.com,NA,45,United States,Boston,222-333-4444,987 Cedar St,02215,https://janejohnson.com,NA
7,7,NA,2,John Brown,0r9b7@example.com,0r9b7@example.com,NA,55,United States,Denver,666-777-8888,543 Oak St,80202,https://johnbrown.com,NA
8,8,NA,2,Jane Brown,5tY9s@example.com,5tY9s@example.com,NA,50,United States,San Francisco,999-888-7777,654 Maple St,94101,https://janebrown.com,NA
9,9,NA,2,John Davis,0r9b7@example.com,0r9b7@example.com,NA,55,United States,Denver,666-777-8888,543 Oak St,80202,https://johndavis.com,NA
11,11,NA,2,John Doe,9eBxS@example.com,9eBxS@example.com,NA,30,United States,New York,123-456-7890,123 Main St,10001,https://johndoe.com,NA
2,2,NA,2,Jane Doe,4tV2z@example.com,4tV2z@example.com,NA,25,United States,Los Angeles,987-654-3210,456 Oak St,90001,https://janedoe.com,NA
3,3,NA,2,John Smith,0iM7m@example.com,0iM7m@example.com,NA,40,United States,Chicago,555-555-5555,789 Elm St,60606,https://johnsmith.com,NA
4,4,NA,2,Jane Smith,5Bw2r@example.com,5Bw2r@example.com,NA,35,United States,Seattle,111-222-3333,321 Pine St,98101,https://janesmith.com,NA
5,5,NA,2,John Johnson,3f7lI@example.com,3f7lI@example.com,NA,50,United States,San Francisco,777-888-9999,654 Maple St,94101,https://johnjohnson.com,NA
6,6,NA,2,Jane Johnson,4yKZx@example.com,4yKZx@example.com,NA,45,United States,Boston,222-333-4444,987 Cedar St,02215,https://janejohnson.com,NA
7,7,NA,2,John Brown,0r9b7@example.com,0r9b7@example.com,NA,55,United States,Denver,666-777-8888,543 Oak St,80202,https://johnbrown.com,NA
8,8,NA,2,Jane Brown,5tY9s@example.com,5tY9s@example.com,NA,50,United States,San Francisco,999-888-7777,654 Maple St,94101,https://janebrown.com,NA
9,9,NA,2,John Davis,0r9b7@example.com,0r9b7@example.com,NA,55,United States,Denver,666-777-8888,543 Oak St,80202,https://johndavis.com,NA
11,11,NA,2,John Doe,9eBxS@example.com,9eBxS@example.com,NA,30,United States,New York,123-456-7890,123 Main St,10001,https://johndoe.com,NA
2,2,NA,2,Jane Doe,4tV2z@example.com,4tV2z@example.com,NA,25,United States,Los Angeles,987-654-3210,456 Oak St,90001,https://janedoe.com,NA
3,3,NA,2,John Smith,0iM7m@example.com,0iM7m@example.com,NA,40,United States,Chicago,555-555-5555,789 Elm St,60606,https://johnsmith.com,NA
4,4,NA,2,Jane Smith,5Bw2r@example.com,5Bw2r@example.com,NA,35,United States,Seattle,111-222-3333,321 Pine St,98101,https://janesmith.com,NA
5,5,NA,2,John Johnson,3f7lI@example.com,3f7lI@example.com,NA,50,United States,San Francisco,777-888-9999,654 Maple St,94101,https://johnjohnson.com,NA
6,6,NA,2,Jane Johnson,4yKZx@example.com,4yKZx@example.com,NA,45,United States,Boston,222-333-4444,987 Cedar St,02215,https://janejohnson.com,NA
7,7,NA,2,John Brown,0r9b7@example.com,0r9b7@example.com,NA,55,United States,Denver,666-777-8888,543 Oak St,80202,https://johnbrown.com,NA
8,8,NA,2,Jane Brown,5tY9s@example.com,5tY9s@example.com,NA,50,United States,San Francisco,999-888-7777,654 Maple St,94101,https://janebrown.com,NA
9,9,NA,2,John Davis,0r9b7@example.com,0r9b7@example.com,NA,55,United States,Denver,666-777-8888,543 Oak St,80202,https://johndavis.com,NA
11,11,NA,2,John Doe,9eBxS@example.com,9eBxS@example.com,NA,30,United States,New York,123-456-7890,123 Main St,10001,https://johndoe.com,NA
2,2,NA,2,Jane Doe,4tV2z@example.com,4tV2z@example.com,NA,25,United States,Los Angeles,987-654-3210,456 Oak St,90001,https://janedoe.com,NA
3,3,NA,2,John Smith,0iM7m@example.com,0iM7m@example.com,NA,40,United States,Chicago,555-555-5555,789 Elm St,60606,https://johnsmith.com,NA
4,4,NA,2,Jane Smith,5Bw2r@example.com,5Bw2r@example.com,NA,35,United States,Seattle,111-222-3333,321 Pine St,98101,https://janesmith.com,NA
5,5,NA,2,John Johnson,3f7lI@example.com,3f7lI@example.com,NA,50,United States,San Francisco,777-888-9999,654 Maple St,94101,https://johnjohnson.com,NA
6,6,NA,2,Jane Johnson,4yKZx@example.com,4yKZx@example.com,NA,45,United States,Boston,222-333-4444,987 Cedar St,02215,https://janejohnson.com,NA
7,7,NA,2,John Brown,0r9b7@example.com,0r9b7@example.com,NA,55,United States,Denver,666-777-8888,543 Oak St,80202,https://johnbrown.com,NA
8,8,NA,2,Jane Brown,5tY9s@example.com,5tY9s@example.com,NA,50,United States,San Francisco,999-888-7777,654 Maple St,94101,https://janebrown.com,NA
9,9,NA,2,John Davis,0r9b7@example.com,0r9b7@example.com,NA,55,United States,Denver,666-777-8888,543 Oak St,80202,https://johndavis.com,NA
11,11,NA,2,John Doe,9eBxS@example.com,9eBxS@example.com,NA,30,United States,New York,123-456-7890,123 Main St,10001,https://johndoe.com,NA
2,2,NA,2,Jane Doe,4tV2z@example.com,4tV2z@example.com,NA,25,United States,Los Angeles,987-654-3210,456 Oak St,90001,https://janedoe.com,NA
3,3,NA,2,John Smith,0iM7m@example.com,0iM7m@example.com,NA,40,United States,Chicago,555-555-5555,789 Elm St,60606,https://johnsmith.com,NA
