"0","0","0.0","name","email","email","","age","country","city","phone","address","zip","website",""
"1","1","2.0","John Doe","9eBxS@example.com","9eBxS@example.com","","30","United States","New York","123-456-7890","123 Main St","10001","https://johndoe.com",""
"2","2","2.0","Jane Doe","yape@edu.com","yape@edu.com","","25","United States","Los Angeles","987-654-3210","456 Oak St","90001","https://janedoe.com",""
"3","3","2.0","Luisito comunica","luchks@edu.com","luchks@edu.com","","40","United States","Chicago","555-555-5555","789 Elm St","60606","https://johnsmith.com",""
"4","4","2.0","Jane Smith","create a new column","create a new column","","35","United States","Seattle","111-222-3333","321 Pine St","98101","https://janesmith.com",""
"5","5","2.0","Moises Eliote","3f7lI@example.com","3f7lI@example.com","","50","peru","San Francisco","777-888-9999","654 Maple St","94101","https://johnjohnson.com",""
"6","6","2.0","Jane Johnson","lucks@gmail.com","lucks@gmail.com","","45","United States","Boston","222-333-4444","987 Cedar St","02215","https://janejohnson.com",""
"7","7","2.0","Juansito Luchks","diana@bugkets.com","diana@bugkets.com","","23","USA","Denver","666-777-8888","543 Oak St","80202","https://johnbrown.com",""
"8","8","2.0","Ramonsito Kamacho","5tY9s@example.com","5tY9s@example.com","","50","United States","San Francisco","999-888-7777","654 Maple St","94101","https://janebrown.com",""
"9","9","2.0","John Davis","0r9b7@example.com","0r9b7@example.com","","55","United States","Denver","666-777-8888","543 Oak St","80202","https://johndavis.com",""
"10","10","2.0","Jane Davis","5tY9s@example.com","5tY9s@example.com","","50","United States","San Francisco","999-888-7777","654 Maple St","94101","https://janedavis.com",""
"1","1","2.0","John Doe","9eBxS@example.com","9eBxS@example.com","","30","United States","New York","123-456-7890","123 Main St","10001","https://johndoe.com",""
"2","2","2.0","Jane Doe","4tV2z@example.com","4tV2z@example.com","","25","United States","Los Angeles","987-654-3210","456 Oak St","90001","https://janedoe.com",""
"3","3","2.0","John Smith","0iM7m@example.com","0iM7m@example.com","","40","United States","Chicago","555-555-5555","789 Elm St","60606","https://johnsmith.com",""
"4","4","2.0","Jane Smith","5Bw2r@example.com","5Bw2r@example.com","","35","United States","Seattle","111-222-3333","321 Pine St","98101","https://janesmith.com",""
"5","5","2.0","John Johnson","3f7lI@example.com","3f7lI@example.com","","50","United States","San Francisco","777-888-9999","654 Maple St","94101","https://johnjohnson.com",""
"6","6","2.0","Jane Johnson","4yKZx@example.com","4yKZx@example.com","","45","United States","Boston","222-333-4444","987 Cedar St","02215","https://janejohnson.com",""
"7","7","2.0","John Brown","0r9b7@example.com","0r9b7@example.com","","55","United States","Denver","666-777-8888","543 Oak St","80202","https://johnbrown.com",""
"8","8","2.0","Jane Brown","5tY9s@example.com","5tY9s@example.com","","50","United States","San Francisco","999-888-7777","654 Maple St","94101","https://janebrown.com",""
"9","9","2.0","John Davis","0r9b7@example.com","0r9b7@example.com","","55","United States","Denver","666-777-8888","543 Oak St","80202","https://johndavis.com",""
"11","11","2.0","John Doe","9eBxS@example.com","9eBxS@example.com","","30","United States","New York","123-456-7890","123 Main St","10001","https://johndoe.com",""
"2","2","2.0","Jane Doe","4tV2z@example.com","4tV2z@example.com","","25","United States","Los Angeles","987-654-3210","456 Oak St","90001","https://janedoe.com",""
"3","3","2.0","John Smith","0iM7m@example.com","0iM7m@example.com","","40","United States","Chicago","555-555-5555","789 Elm St","60606","https://johnsmith.com",""
"4","4","2.0","Jane Smith","5Bw2r@example.com","5Bw2r@example.com","","35","United States","Seattle","111-222-3333","321 Pine St","98101","https://janesmith.com",""
"5","5","2.0","John Johnson","3f7lI@example.com","3f7lI@example.com","","50","United States","San Francisco","777-888-9999","654 Maple St","94101","https://johnjohnson.com",""
"6","6","2.0","Jane Johnson","4yKZx@example.com","4yKZx@example.com","","45","United States","Boston","222-333-4444","987 Cedar St","02215","https://janejohnson.com",""
"7","7","2.0","John Brown","0r9b7@example.com","0r9b7@example.com","","55","United States","Denver","666-777-8888","543 Oak St","80202","https://johnbrown.com",""
"8","8","2.0","Jane Brown","5tY9s@example.com","5tY9s@example.com","","50","United States","San Francisco","999-888-7777","654 Maple St","94101","https://janebrown.com",""
"9","9","2.0","John Davis","0r9b7@example.com","0r9b7@example.com","","55","United States","Denver","666-777-8888","543 Oak St","80202","https://johndavis.com",""
